name, latitude, longitude, rating, num_reviews
Piazza Pizza & Stromboli,39.9872933328,-83.0446679145,2.5,3
Alley Bar,39.9632966917,-83.0002369525,2.5,2
Olympic Gyros,39.9488106,-82.9565582,2.5,4
Pizza Hut,40.0067651,-83.0477517,2,6
Minuteman Pizza,40.0606725365,-82.9782181978,2,3
Pizza Hut,39.941654,-82.982819,2,5
PaPa Joes Pizza,39.9563540518,-82.9089032114,2,1
Ledo's Pizza,40.0155106,-83.0112686,2,1
Donatos Pizza,39.9390258789,-82.9688796997,1.5,7
Papa John's Pizza,39.9570579529,-82.920715332,1.5,3
Pizza Hut,40.0362015,-82.9616928,1.5,4
Donatos Pizza,40.0530701,-82.9205093,1.5,5
Pizza Hut,39.942619,-83.102402,1.5,3
Papa John's Pizza,39.9460639954,-82.982460022,1,5
Pizza Hut,39.956123,-82.915939,1,2
Pizza Hut,39.931,-83.05024,1,3
Johnny's Pizza & Subs,39.9450188,-83.0643768,1,1
Bruno's Pizza Buffet,40.0648266077,-83.0885843933,1,1
Smith's Deli,40.03828,-83.018044,5,1
