name, latitude, longitude, rating, num_reviews, neighborhoods
Mitchell's Fish Market,39.985515,-83.023902,3.5,121, 'Grandview Heights'
Union Cafe,39.978401,-83.003342,3.5,153, 'Short North
SuperChefs Breakfast & More,39.9626982,-82.9951723,4,141, 'Downtown'
Cafe Illyria,39.9609604,-82.9944305,4.5,23, 'Downtown'
De Novo,39.9578895569,-83.0003433228,4,151, 'Downtown'
Deli Boys,39.9652682,-83.0012532,4.5,11, 'Downtown'
Hungry Monkey Food Truck,39.99493,-82.99989,4.5,16, 'University District'
DK Diner,39.985153,-83.051674,4,167, 'Grandview Heights'
Whetstone Park of Roses,40.0425374508,-83.018854335,4.5,55, 'Clintonville'
Ajumama,39.9829903,-82.9596786,4,34, ''
Columbus Brewing Company Restaurant,39.9506416,-83.0038528,4,203, 'Brewery District'
Angry Bear Kitchen,40.016451,-83.012085,4,55, 'University District'
Ruby Tuesday,40.003521,-83.00061,4,26, 'University District'
Acre Farm-to-Table To-Go,40.0175285,-83.0117264,4,94, 'University District'
Ted's Montana Grill,39.9682388,-83.0068665,4,91, 'Arena District'
The Ohio Statehouse,39.961465,-82.998966,4.5,20, 'Downtown'
Taste of Greece,40.0245356317,-83.0020281672,4.5,31, 'Clintonville'
Little Eater,39.971909208,-83.0043403367,4.5,11, 'Short North'
Flatiron Bar & Diner,39.9687881,-82.9979095,3.5,111, 'Downtown'
German Village,39.9504089,-82.995163,4.5,13, 'German Village'
Lan Viet Market,39.9721718,-83.004158,3.5,118, 'Short North'
Cherbourg Bakery,39.9577776343,-82.9381392896,4.5,45, 'Bexley'
Sushi Ting,40.0192679465,-83.0245553702,4,139, ''
Winans Chocolates & Coffee,39.9440193,-82.9946671,4.5,27, 'German Village'
Pho Asian Noodle House & Grill,40.0070343912,-83.0451835692,4,221, 'University District'
Olentangy River Greenway,39.9623908997,-82.9995651245,4.5,25, 'Downtown'
Coco's Grill,39.9879491329,-83.0284331739,3.5,65, 'Grandview Heights'
Katzinger's Delicatessen,39.9526215,-82.9963303,3.5,254, 'German Village'
Alchemy Juice Bar + Café,39.9512119616,-82.9827038,4.5,32, 'Schumacher Place'
Tommy's Pizza,40.007205,-83.046867,4,77, 'University District'
Milestone 229,39.956942,-83.003472,3.5,206, 'Downtown'
Brazenhead Irish Pub,39.9880714,-83.0336227,3.5,121, 'Grandview Heights'
Mama Mimi's Take N Bake Pizza,40.021801,-83.0136185,4,28, 'Clintonville'
Fabian's,39.9765838605,-83.003690245,3.5,73, 'Short North'
Yats,39.9860267625,-83.0445696786,4,54, 'Grandview Heights'
South Of Lane,39.9998398,-83.0619812,4.5,59, 'Upper Arlington'
Beck Tavern,39.950768,-82.990524,4.5,28, 'German Village'
